,date,KOSPI 200,Exchange_Rate,S&P 500,KOR_10y,USA_10y,기간
0,2003-01-02,80.72,1187.8,909.03,5.57,4.02854,2003Q1
1,2003-01-03,84.15,1190.5,908.59,5.59,4.01934,2003Q1
2,2003-01-06,84.92,1196.1,929.01,5.59,4.05476,2003Q1
3,2003-01-07,83.03,1191.6,922.93,5.55,4.0082,2003Q1
4,2003-01-08,82.97,1187.2,909.93,5.52,4.02127,2003Q1
5,2003-01-09,80.04,1188.6,927.58,5.52,4.16724,2003Q1
6,2003-01-10,79.93,1179.5,927.57,5.49,4.13591,2003Q1
7,2003-01-13,82.58,1180.3,926.26,5.5,4.1222,2003Q1
8,2003-01-14,82.79,1177.0,931.66,5.46,4.08114,2003Q1
9,2003-01-15,82.52,1176.5,918.22,5.43,4.06067,2003Q1
10,2003-01-16,82.58,1173.7,914.6,5.42,4.07922,2003Q1
11,2003-01-17,80.96,1173.4,901.78,5.42,4.015,2003Q1
12,2003-01-20,80.72,1173.6,,5.42,4.0174,2003Q1
13,2003-01-21,80.5,1174.2,887.62,5.4,3.97036,2003Q1
14,2003-01-22,79.23,1177.2,878.36,5.37,3.90858,2003Q1
15,2003-01-23,79.57,1175.6,887.34,5.38,3.9394,2003Q1
16,2003-01-24,77.54,1178.2,861.4,5.38,3.9297,2003Q1
17,2003-01-27,75.45,1171.9,847.48,5.36,3.95674,2003Q1
18,2003-01-28,76.46,1170.4,858.54,5.25,3.97029,2003Q1
19,2003-01-29,74.15,1170.9,864.36,5.16,4.02276,2003Q1
20,2003-01-30,75.22,1170.5,844.61,5.19,3.96445,2003Q1
21,2003-02-03,76.3,1170.9,860.32,5.2,3.99161,2003Q1
22,2003-02-04,76.7,1177.6,848.2,5.17,3.92567,2003Q1
23,2003-02-05,76.23,1179.8,843.59,5.17,3.99939,2003Q1
24,2003-02-06,74.74,1174.1,838.15,5.1,3.94499,2003Q1
25,2003-02-07,73.17,1177.1,829.69,5.09,3.93187,2003Q1
26,2003-02-10,73.16,1179.9,835.97,5.09,3.97018,2003Q1
27,2003-02-11,73.01,1192.8,829.2,5.15,3.95463,2003Q1
28,2003-02-12,74.02,1207.8,818.68,5.2,3.91004,2003Q1
29,2003-02-13,72.92,1202.9,817.37,5.19,3.87496,2003Q1
30,2003-02-14,72.86,1202.7,834.89,5.19,3.95511,2003Q1
31,2003-02-17,76.32,1201.4,,5.27,,2003Q1
32,2003-02-18,76.55,1207.2,851.17,5.26,3.94746,2003Q1
33,2003-02-19,76.22,1202.4,845.13,5.19,3.88255,2003Q1
34,2003-02-20,76.89,1198.4,837.1,5.2,3.86732,2003Q1
35,2003-02-21,76.61,1196.4,848.17,5.14,3.89013,2003Q1
36,2003-02-24,78.32,1194.1,832.58,5.14,3.84447,2003Q1
37,2003-02-25,75.13,1192.6,838.57,5.09,3.81033,2003Q1
38,2003-02-26,74.83,1191.1,827.55,5.05,3.76638,2003Q1
39,2003-02-27,73.8,1187.7,837.28,5.04,3.73858,2003Q1
40,2003-02-28,72.85,1186.8,841.15,5.07,3.69152,2003Q1
41,2003-03-03,74.87,1190.3,834.81,5.1,3.67462,2003Q1
42,2003-03-04,73.07,1194.3,821.99,5.06,3.64281,2003Q1
43,2003-03-05,70.95,1193.2,829.85,5.06,3.62039,2003Q1
44,2003-03-06,70.37,1194.9,822.1,5.06,3.65389,2003Q1
45,2003-03-07,69.33,1208.1,828.89,5.08,3.62571,2003Q1
46,2003-03-10,69.26,1218.0,807.48,5.1,3.56059,2003Q1
47,2003-03-11,67.79,1229.1,800.73,5.15,3.58092,2003Q1
48,2003-03-12,67.65,1236.7,804.19,5.59,3.5827,2003Q1
49,2003-03-13,67.84,1237.3,831.9,5.63,3.75028,2003Q1
50,2003-03-14,68.51,1247.9,833.27,5.5,3.70068,2003Q1
51,2003-03-17,65.64,1241.0,862.79,5.54,3.83983,2003Q1
52,2003-03-18,68.49,1241.6,866.45,5.43,3.90773,2003Q1
53,2003-03-19,69.05,1249.6,874.02,5.25,3.98625,2003Q1
54,2003-03-20,72.4,1255.6,875.67,5.21,3.95536,2003Q1
55,2003-03-21,73.37,1253.8,895.79,5.13,4.09923,2003Q1
56,2003-03-24,72.58,1249.6,864.23,5.09,3.96699,2003Q1
57,2003-03-25,70.7,1251.1,874.74,5.07,3.94432,2003Q1
58,2003-03-26,70.58,1246.1,869.95,5.02,3.93034,2003Q1
59,2003-03-27,69.82,1244.8,868.52,5.0,3.92072,2003Q1
60,2003-03-28,70.77,1244.6,863.5,5.06,3.89955,2003Q1
61,2003-03-31,68.05,1252.9,848.18,5.04,3.80191,2003Q1
62,2003-04-01,68.4,1258.0,858.48,5.04,3.80999,2003Q2
63,2003-04-02,69.0,1254.3,880.9,5.06,3.92653,2003Q2
64,2003-04-03,69.28,1253.9,876.45,5.04,3.91303,2003Q2
65,2003-04-04,70.99,1254.9,878.85,5.04,3.94588,2003Q2
66,2003-04-07,74.63,1258.0,879.93,5.08,3.97496,2003Q2
67,2003-04-08,74.83,1257.0,878.29,5.09,3.93236,2003Q2
68,2003-04-09,72.45,1255.0,865.99,5.11,3.89762,2003Q2
69,2003-04-10,73.56,1253.4,871.58,5.05,3.93238,2003Q2
70,2003-04-11,74.22,1239.8,868.3,5.02,3.97458,2003Q2
71,2003-04-14,75.75,1226.3,885.23,5.04,4.01598,2003Q2
72,2003-04-15,77.13,1224.1,890.81,5.04,3.98969,2003Q2
73,2003-04-16,79.26,1217.3,879.91,5.05,3.94212,2003Q2
74,2003-04-17,78.11,1216.5,893.58,5.05,3.95862,2003Q2
75,2003-04-18,79.67,1209.5,,5.05,,2003Q2
76,2003-04-21,79.06,1205.0,892.01,5.06,3.97911,2003Q2
77,2003-04-22,76.71,1204.7,911.37,5.04,3.96745,2003Q2
78,2003-04-23,76.06,1217.0,919.02,5.02,3.97915,2003Q2
79,2003-04-24,74.79,1219.5,911.43,5.01,3.92087,2003Q2
80,2003-04-25,72.07,1221.0,898.81,4.99,3.88604,2003Q2
81,2003-04-28,72.41,1234.4,914.84,4.95,3.89765,2003Q2
82,2003-04-29,76.15,1229.4,917.84,4.96,3.93062,2003Q2
83,2003-04-30,76.45,1213.1,916.92,4.9,3.83972,2003Q2
84,2003-05-02,76.12,1213.9,930.08,4.84,3.92484,2003Q2
85,2003-05-06,77.01,1211.1,934.39,4.84,3.78772,2003Q2
86,2003-05-07,78.85,1205.9,929.62,4.83,3.67505,2003Q2
87,2003-05-09,78.9,1196.9,933.41,4.82,3.67768,2003Q2
88,2003-05-12,80.45,1199.9,945.11,4.84,3.63862,2003Q2
89,2003-05-13,78.19,1196.0,942.3,4.79,3.60812,2003Q2
90,2003-05-14,77.57,1199.8,939.28,4.72,3.52229,2003Q2
91,2003-05-15,78.8,1201.5,946.66,4.69,3.5297,2003Q2
92,2003-05-16,77.56,1195.2,944.3,4.69,3.4167,2003Q2
93,2003-05-19,75.63,1197.8,920.77,4.6,3.48499,2003Q2
94,2003-05-20,76.4,1193.6,919.73,4.63,3.35737,2003Q2
95,2003-05-21,76.16,1199.1,923.42,4.58,3.39629,2003Q2
96,2003-05-22,75.43,1193.9,931.87,4.62,3.31564,2003Q2
97,2003-05-23,77.56,1197.4,933.22,4.62,3.33452,2003Q2
98,2003-05-26,78.39,1193.4,,4.64,,2003Q2
99,2003-05-27,77.94,1194.0,951.48,4.61,3.41804,2003Q2
100,2003-05-28,79.82,1199.4,953.22,4.55,3.42629,2003Q2
101,2003-05-29,80.4,1200.4,949.64,4.49,3.33338,2003Q2
102,2003-05-30,80.53,1206.6,963.59,4.47,3.36986,2003Q2
103,2003-06-02,82.55,1205.3,967.0,4.49,3.41217,2003Q2
104,2003-06-03,80.95,1207.5,971.56,4.46,3.32202,2003Q2
105,2003-06-04,81.4,1202.3,986.24,4.45,3.29451,2003Q2
106,2003-06-05,81.74,1201.5,990.14,4.44,3.34387,2003Q2
107,2003-06-09,82.86,1200.8,975.93,4.43,3.27903,2003Q2
108,2003-06-10,82.77,1200.3,984.84,4.4,3.19303,2003Q2
109,2003-06-11,82.93,1193.7,997.48,4.38,3.20833,2003Q2
110,2003-06-12,83.82,1193.1,998.51,4.4,3.16477,2003Q2
111,2003-06-13,84.79,1194.3,988.61,4.41,3.11394,2003Q2
112,2003-06-16,83.72,1192.7,1010.74,4.34,3.17338,2003Q2
113,2003-06-17,85.92,1191.0,1011.66,4.37,3.26373,2003Q2
114,2003-06-18,86.04,1188.4,1010.09,4.35,3.35953,2003Q2
115,2003-06-19,88.11,1184.5,994.7,4.41,3.34103,2003Q2
116,2003-06-20,87.55,1186.0,995.69,4.5,3.36711,2003Q2
117,2003-06-23,86.06,1190.6,981.64,4.55,3.31131,2003Q2
118,2003-06-24,84.67,1190.9,983.45,4.53,3.25077,2003Q2
119,2003-06-25,86.04,1189.2,975.32,4.53,3.4044,2003Q2
120,2003-06-26,86.37,1188.5,985.82,4.56,3.54491,2003Q2
121,2003-06-27,86.53,1186.7,976.22,4.61,3.54341,2003Q2
122,2003-06-30,85.47,1193.1,974.5,4.61,3.52075,2003Q2
123,2003-07-01,86.15,1194.9,982.32,4.59,3.55203,2003Q3
124,2003-07-02,87.61,1191.0,993.75,4.54,3.53754,2003Q3
125,2003-07-03,87.73,1188.1,985.7,4.54,3.65625,2003Q3
126,2003-07-04,88.59,1185.1,,4.66,,2003Q3
127,2003-07-07,90.07,1182.3,1004.42,4.68,3.73705,2003Q3
128,2003-07-08,90.69,1180.0,1007.84,4.74,3.71865,2003Q3
129,2003-07-09,90.28,1179.2,1002.21,4.77,3.68802,2003Q3
130,2003-07-10,89.61,1179.6,988.7,4.85,3.6648,2003Q3
131,2003-07-11,90.15,1178.5,998.14,4.78,3.63309,2003Q3
132,2003-07-14,92.32,1179.2,1003.86,4.94,3.72613,2003Q3
133,2003-07-15,91.41,1177.0,1000.42,5.0,3.98263,2003Q3
134,2003-07-16,91.9,1175.7,994.0,5.14,3.93115,2003Q3
135,2003-07-18,89.63,1178.8,993.32,5.13,3.99945,2003Q3
136,2003-07-21,88.88,1182.5,978.8,5.12,4.20893,2003Q3
137,2003-07-22,89.8,1179.4,988.11,5.15,4.13067,2003Q3
138,2003-07-23,89.21,1182.0,988.61,5.12,4.1052,2003Q3
139,2003-07-24,90.11,1181.4,981.6,5.13,4.16682,2003Q3
140,2003-07-25,90.34,1180.3,998.68,5.15,4.17877,2003Q3
141,2003-07-28,92.06,1181.2,996.52,5.19,4.28374,2003Q3
142,2003-07-29,92.73,1179.3,989.28,5.24,4.43724,2003Q3
143,2003-07-30,91.56,1179.5,987.49,5.2,4.31141,2003Q3
144,2003-07-31,91.52,1180.0,990.31,5.24,4.40991,2003Q3
145,2003-08-01,93.46,1180.6,980.15,5.39,4.39596,2003Q3
146,2003-08-04,92.31,1180.4,982.81,5.34,4.30044,2003Q3
147,2003-08-05,92.76,1181.4,965.46,5.32,4.39763,2003Q3
148,2003-08-06,90.84,1186.1,967.08,5.31,4.27337,2003Q3
149,2003-08-07,91.06,1185.9,974.12,5.27,4.21767,2003Q3
